Frontiers in Pediatrics, Life Sciences
JURNAL SAINS DAN TEKNOLOGI, Engineering & Technology
Adipocyte, Multidisciplinary
Journal of Translational Internal Medicine, Life Sciences
Revista Brasileira de Ensino de Física, Multidisciplinary
Lab Animal, Multidisciplinary
Dialogues in Health, Life Sciences
Scandinavian Journal of Work Environment & Health, Life Sciences
Journal of Cereal Science, Multidisciplinary
Middle East Fertility Society Journal, Multidisciplinary
Discover Medicine, Life Sciences
Discover Endocrinology and Metabolism, Multidisciplinary
American Journal of Science, Multidisciplinary
Vacuum, Multidisciplinary
Journal of Materials Science Materials in Electronics, Engineering & Technology
Advanced Orthopaedics, Multidisciplinary
Journal of Chromatography B, Engineering & Technology
Solid State Sciences, Multidisciplinary
Advances in Applied Sciences, Multidisciplinary
Frontiers in Biomaterials Science, Physical Sciences
Journal of Environmental Science and Health Part C, Humanities
Cytogenetic and Genome Research, Multidisciplinary
International Journal of Radiation Biology, Life Sciences
Radiation and Environmental Biophysics, Physical Sciences
Toxicological Sciences, Multidisciplinary
Cancer/Radiothérapie, Multidisciplinary
Hepatic Oncology, Life Sciences
Journal of Religion and Health, Humanities
European Review of Applied Psychology, Social Sciences
International Journal of Industrial Optimization, Engineering & Technology
Bangmod International Journal of Mathematical and Computational Science, Physical Sciences
Franklin Open, Multidisciplinary
Current issues of social sciences and history of medicine, Humanities
Conservation Letters, Engineering & Technology
European Journal of Ecology, Life Sciences
Journal of Avian Biology, Life Sciences
Avian Research, Multidisciplinary
Social Science Research, Social Sciences
GEORGIKON FOR AGRICULTURE, Life Sciences
Ningen to kankyo, Multidisciplinary
Journal of Plastic Reconstructive & Aesthetic Surgery, Engineering & Technology
Problems of Information Transmission, Multidisciplinary
İstanbul Medical Journal, Life Sciences
International Journal of Pharmacology, Life Sciences
Journal of Neuroimmune Pharmacology, Life Sciences
Acta Cirúrgica Brasileira, Multidisciplinary
Demiroglu Science University Florence Nightingale Journal of Medicine, Life Sciences
Advances in Rehabilitation Science and Practice, Multidisciplinary
International Journal of Telerehabilitation, Engineering & Technology
EcoMat, Multidisciplinary
US Cardiology Review, Engineering & Technology
Aesthetic Surgery Journal, Multidisciplinary
Dermatological Reviews, Engineering & Technology
Journal of Geophysical Research Planets, Engineering & Technology
Nuclear Science and Techniques, Multidisciplinary
Journal of Feline Medicine and Surgery Open Reports, Life Sciences
Energy & Fuels, Physical Sciences
Fibers and Polymers, Multidisciplinary
Reviews of Modern Plasma Physics, Physical Sciences
Economics and Business, Business & Economics
Management Theory and Studies for Rural Business and Infrastructure Development, Business & Economics
Engineering Management in Production and Services, Business & Economics
Water Resources Management, Business & Economics
Aquaculture International, Multidisciplinary
Science Signaling, Engineering & Technology
Forestry Research, Multidisciplinary
International Transactions in Operational Research, Engineering & Technology
Austral Entomology, Multidisciplinary
Journal of Functional Programming, Engineering & Technology
The Art Science and Engineering of Programming, Humanities
Nuclear Physics A, Physical Sciences
SciPost Physics Proceedings, Physical Sciences
Theory in Biosciences, Multidisciplinary
Stroke Research and Treatment, Multidisciplinary
Advances in Geriatric Medicine and Research, Life Sciences
Psychotherapy and Psychosomatics, Multidisciplinary
Personalized Medicine in Psychiatry, Life Sciences
Developing World Bioethics, Humanities
Chinese Journal of Natural Medicines, Life Sciences
Chinese Journal of Physics, Physical Sciences
General Relativity and Gravitation, Multidisciplinary
Jurnal Filsafat, Multidisciplinary
Bangladesh Journal of Bioethics, Humanities
Jurnal Manajemen Pelayanan Kesehatan (The Indonesian Journal of Health Service Management), Business & Economics
Berita Kedokteran Masyarakat, Multidisciplinary
Journal of the Medical Sciences (Berkala Ilmu Kedokteran), Life Sciences
JUMANTIK (Jurnal Ilmiah Penelitian Kesehatan), Multidisciplinary
Jurnal Pendidikan Kedokteran Indonesia The Indonesian Journal of Medical Education, Social Sciences
Current Neurology and Neuroscience Reports, Life Sciences
Journal of Anesthesia and Translational Medicine, Life Sciences
Mycobiology, Life Sciences
Computational Biology and Chemistry, Physical Sciences
Asian Journal of Beauty and Cosmetology, Engineering & Technology
International Journal of Fire Science and Engineering, Engineering & Technology
Fire Science and Engineering, Engineering & Technology
Transfusion Medicine and Hemotherapy, Life Sciences
Asian Journal of Transfusion Science, Multidisciplinary
Indian Journal of Hematology and Blood Transfusion, Engineering & Technology
Advanced medical journal, Life Sciences
Current Research in Environmental Sustainability, Engineering & Technology
Indian Journal of Pathology and Oncology, Life Sciences
Journal of Agrometeorology, Engineering & Technology
Indian Journal of Aerospace Medicine, Engineering & Technology
Cuestiones de Fisioterapia, Multidisciplinary
Jahrbücher für Nationalökonomie und Statistik, Multidisciplinary
Revista Colombiana de Estadística, Multidisciplinary
UMYU Scientifica, Multidisciplinary
Journal of Science Research and Reviews, Multidisciplinary
FUDMA Journal of Sciences, Multidisciplinary
Berumpun International Journal of Social Politics and Humanities, Humanities
International Journal of Development Mathematics (IJDM), Physical Sciences
Babcock University Medical Journal, Life Sciences
Southern African Journal of HIV Medicine, Life Sciences
Journal of obstetrics and gynaecology research, Life Sciences
European Journal of Preventive Medicine, Life Sciences
International Journal of HIV/AIDS Prevention Education and Behavioural Science, Social Sciences
Advances in Environmental and Engineering Research, Engineering & Technology
Biochimica et Biophysica Acta (BBA) - General Subjects, Multidisciplinary
BMC Methods, Multidisciplinary
RSC Applied Polymers, Multidisciplinary
Frontiers in Malaria, Multidisciplinary
Journal of Mathematical Biology, Physical Sciences
Journal of Differential Equations, Engineering & Technology
EcoHealth, Life Sciences
ArchéoSciences, Multidisciplinary
Biomolecular NMR Assignments, Multidisciplinary
Expert Review of Anti-infective Therapy, Engineering & Technology
Revista Sangre (ENG), Multidisciplinary
Thyroid, Multidisciplinary
Bangladesh Medical Journal, Life Sciences
Cerebral Cortex Communications, Social Sciences
The Japanese journal of psychology, Social Sciences
Annals of Japan Prosthodontic Society, Multidisciplinary
Revista de Administração de Empresas, Multidisciplinary
Canadian journal of nonprofit and social economy research, Social Sciences
Organizações & Sociedade, Multidisciplinary
FEMS Microbiology Letters, Life Sciences
Journal of Food Science Education, Social Sciences
Plant Foods for Human Nutrition, Life Sciences
Current Pharmacology Reports, Life Sciences
Ecology Of Freshwater Fish, Life Sciences
International Journal of Agricultural Extension, Humanities
Journal of Pediatric Psychology, Social Sciences
Cogent Mental Health, Life Sciences
Australasian Journal of Ultrasound in Medicine, Life Sciences
Behavioural Neurology, Life Sciences
Trends in Pediatrics, Life Sciences
Biophysics Reports, Physical Sciences
Blue Biotechnology, Engineering & Technology
Journal of Educational Theory, Social Sciences
Academic Journal of Sociology and Management, Business & Economics
Indian Journal of Sexually Transmitted Diseases and AIDS, Engineering & Technology
IP Indian Journal of Clinical and Experimental Dermatology, Life Sciences
Indian Journal of Postgraduate Dermatology, Engineering & Technology
Indonesian Journal of Sustainability Accounting and Management, Business & Economics
Jurnal Manajemen Teori dan Terapan | Journal of Theory and Applied Management, Business & Economics
Society, Multidisciplinary
Journal of clinical technology and theory., Engineering & Technology
Journal of Solid State Chemistry, Physical Sciences
Materials Advances, Physical Sciences
Computers & Industrial Engineering, Engineering & Technology
Journal of Education Humanities and Social Sciences, Humanities
Open Medicine Journal, Life Sciences
EAI Endorsed Transactions on Industrial Networks and Intelligent Systems, Engineering & Technology
Journal of Aging & Social Policy, Social Sciences
Journal of Women & Aging, Engineering & Technology
European Journal of Ageing, Engineering & Technology
Journal of Hand Surgery Global Online, Engineering & Technology
Frontiers in Lab on a Chip Technologies, Engineering & Technology
Bioelectrochemistry, Physical Sciences
Open Data Journal for Agricultural Research, Humanities
Therapeutic Advances in Gastrointestinal Endoscopy, Multidisciplinary
Angiogenesis, Multidisciplinary
Water Biology and Security, Life Sciences
ADVANCES IN GEO-ENERGY RESEARCH, Physical Sciences
Journal of Equine Science, Multidisciplinary
Journal of the Robotics Society of Japan, Engineering & Technology
Major Histocompatibility Complex, Multidisciplinary
Fisheries Science, Multidisciplinary
Japanese Journal of Transplantation and Cellular Therapy, Engineering & Technology
Video Journal of Sports Medicine, Life Sciences
Journal of Orthopaedic Experience & Innovation, Engineering & Technology
Journal of surgical education, Social Sciences
Anesthesiology and Perioperative Science, Multidisciplinary
Indian Journal of Nephrology, Engineering & Technology
Journal of Digestive Diseases, Engineering & Technology
Frontiers in Drug Safety and Regulation, Multidisciplinary
Sustainable Chemistry for the Environment, Engineering & Technology
Caryologia, Multidisciplinary
Natural Hazards, Multidisciplinary
Cartography and Geographic Information Science, Humanities
GI_Forum, Multidisciplinary
Spatial Information Research, Multidisciplinary
GEOMATICA, Multidisciplinary
Postępy Higieny i Medycyny Doświadczalnej, Multidisciplinary
Mechanika, Multidisciplinary
Transfusion and Apheresis Science, Multidisciplinary
Journal of Neuropsychology, Social Sciences
Acta chimica slovenica, Multidisciplinary
Diksi, Multidisciplinary
International Journal of Social Learning (IJSL), Social Sciences
International Journal of Educational Research Open, Social Sciences
Jurnal ABM Mengabdi, Multidisciplinary
Indonesian Journal of Multidisciplinary Science, Multidisciplinary
ELSE (Elementary School Education Journal) Jurnal Pendidikan dan Pembelajaran Sekolah Dasar, Social Sciences
Language and Semiotic Studies, Multidisciplinary
Jurnal Lingua Idea, Multidisciplinary
International Journal of Immunopathology and Pharmacology, Life Sciences
Journal of Clinical and Nursing Research, Life Sciences
Discover Biotechnology, Engineering & Technology
Chemical Research in Toxicology, Physical Sciences
Adult and Higher Education, Social Sciences
MedScien, Multidisciplinary
Quantum Machine Intelligence, Multidisciplinary
ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo), Multidisciplinary
Surgery for Obesity and Related Diseases, Multidisciplinary
Mobile Media & Communication, Social Sciences
Trauma Violence & Abuse, Multidisciplinary
Innate Immunity, Multidisciplinary
npj Health Systems, Engineering & Technology
Immunotherapy, Multidisciplinary
Radiographics, Multidisciplinary
The Japanese Journal of Phlebology, Engineering & Technology
Japan Journal of Industrial and Applied Mathematics, Engineering & Technology
Journal of Health and Translational Medicine, Life Sciences
Advanced International Journal of Business Entrepreneurship and SMEs, Business & Economics
Acta Linguistica Asiatica, Multidisciplinary
Journal of Management Info, Business & Economics
Human Nature Journal of Social Sciences, Social Sciences
Ceramics International, Multidisciplinary
Materials Today Sustainability, Engineering & Technology
CrystEngComm, Multidisciplinary
Jurnal Sehat Indonesia (JUSINDO), Multidisciplinary
Sustainable Technology and Entrepreneurship, Business & Economics
Journal of Open Innovation Technology Market and Complexity, Engineering & Technology
Journal of Food and Pharmaceutical Sciences, Life Sciences
International Journal of Law Government and Communication, Social Sciences
JOURNAL OF SHARIAH LAW RESEARCH, Social Sciences
Scientometrics, Multidisciplinary
International Journal of Nusantara Islam, Engineering & Technology
Jurnal Ekonomi Syariah Akuntansi dan Perbankan (JESKaPe), Multidisciplinary
Jurnal Kesehatan Manarang, Multidisciplinary
Economos, Multidisciplinary
JMPI Jurnal Manajemen Pendidikan dan Pemikiran Islam, Multidisciplinary
Journal of Neural Transmission, Engineering & Technology
Genes Brain & Behavior, Engineering & Technology
npj Systems Biology and Applications, Engineering & Technology
Nitric Oxide, Multidisciplinary
Journal of Shaheed Suhrawardy Medical College, Life Sciences
Findings, Multidisciplinary
Revista de la Facultad de Ciencias Agrarias UNCuyo, Multidisciplinary
Revista de Economia e Sociologia Rural, Multidisciplinary
Revista de Economia e Agronegócio, Multidisciplinary
Global Journal of Flexible Systems Management, Business & Economics
Frontiers in Neurorobotics, Engineering & Technology
Neural Processing Letters, Engineering & Technology
European Science Editing, Multidisciplinary
Future Healthcare Journal, Life Sciences
Journal of Non-Newtonian Fluid Mechanics, Engineering & Technology
Biomicrofluidics, Multidisciplinary
Rheologica Acta, Multidisciplinary
UMYU Journal of Microbiology Research (UJMR), Life Sciences
African Journal of Advances in Science and Technology Research, Engineering & Technology
Journal of Medical and Health Studies, Life Sciences
Journal of Skin and Sexually Transmitted Diseases, Engineering & Technology
Indian Dermatology Online Journal, Multidisciplinary
Kosmos, Multidisciplinary
Extremophiles, Multidisciplinary
FEMS Microbiology Reviews, Life Sciences
Acta veterinaria Scandinavica, Multidisciplinary
Musculoskeletal Science and Practice, Multidisciplinary
International Journal of Cardiovascular Sciences, Multidisciplinary
Dalton Transactions, Engineering & Technology
Protein Expression and Purification, Multidisciplinary
Advances in Public Health, Life Sciences
Syntax Literate Jurnal Ilmiah Indonesia, Multidisciplinary
International Journal of Advancement in Life Sciences Research, Multidisciplinary
World Nutrition Journal, Life Sciences
Preventive Nutrition and Food Science, Life Sciences
Jurnal Gizi Indonesia (The Indonesian Journal of Nutrition), Life Sciences
Jurnal SAGO Gizi dan Kesehatan, Multidisciplinary
Jurnal Teknologi dan Industri Pangan, Multidisciplinary
Jurnal Gizi Klinik Indonesia, Multidisciplinary
Jurnal Agritech, Multidisciplinary
Tropical Animal Science Journal, Multidisciplinary
E-Journal of Tourism, Engineering & Technology
Spine Deformity, Multidisciplinary
Sarcoma, Multidisciplinary
Nanomedicine, Life Sciences
International Journal of Stem Cells, Engineering & Technology
NAR Cancer, Multidisciplinary
Australasian Journal of Dermatology, Engineering & Technology
Surgical pathology clinics, Life Sciences
ANNALS OF SOCIAL SCIENCES AND PERSPECTIVE, Social Sciences
Journal of Community and Development, Engineering & Technology
Jurnal Berdaya Mandiri, Multidisciplinary
Aptisi Transactions On Technopreneurship (ATT), Engineering & Technology
American Journal of Economic and Management Business (AJEMB), Business & Economics
Kilat, Multidisciplinary
Journal of Contemporary Law Studies, Social Sciences
Jurnal Pilar Nusa Mandiri, Multidisciplinary
Review of International Studies, Engineering & Technology
Journal of Spine Research and Surgery, Engineering & Technology
journal of social sciences review, Social Sciences
Insights-Journal of Life and Social Sciences, Social Sciences
Behavioral Sleep Medicine, Life Sciences
Emotion, Multidisciplinary
Plant Protection Science, Multidisciplinary
Visual Informatics, Engineering & Technology
Asian Journal of Pharmaceutical Research and Development, Life Sciences
Immunotherapy Advances, Multidisciplinary
Digital Biomarkers, Multidisciplinary
Journal of Immunotherapy and Precision Oncology, Life Sciences
Palliative & Supportive Care, Multidisciplinary
SurgiColl, Multidisciplinary
Infectious Diseases Research and Treatment, Multidisciplinary
The International Journal of Biochemistry & Cell Biology, Physical Sciences
Journal of Probability and Statistics, Engineering & Technology
Global Epidemiology, Multidisciplinary
Emerging Themes in Epidemiology, Multidisciplinary
Theoretical Biology and Medical Modelling, Life Sciences
International Journal of Finance and Investment, Business & Economics
European Journal of Applied Mathematics, Physical Sciences
Applied Mathematics Letters, Physical Sciences
NeuroImmune Pharmacology and Therapeutics, Life Sciences
Journal of Long-Term Care, Engineering & Technology
Physics Reports, Physical Sciences
Plasma Physics Reports, Physical Sciences
Contributions to Plasma Physics, Physical Sciences
The Knee, Multidisciplinary
Neuroendocrinology, Life Sciences
Journal of Chemical Sciences, Physical Sciences
Actas Urológicas Españolas (English Edition), Multidisciplinary
Clinical and Experimental Gastroenterology, Life Sciences
International Journal of Experiential Learning & Case Studies, Engineering & Technology
Batteries & Supercaps, Multidisciplinary
International Journal of Energy Research, Physical Sciences
Embedded Selforganising Systems, Engineering & Technology
Journal of modern educational theory and practice., Social Sciences
ELITERATE Journal of English Linguistics and Literature Studies, Humanities
Al-Qalam, Multidisciplinary
Khatulistiwa, Multidisciplinary
ELT Worldwide Journal of English Language Teaching, Engineering & Technology
Lakon Jurnal Kajian Sastra dan Budaya, Multidisciplinary
Borneo Journal of English Language Education, Social Sciences
Social Science Academic, Social Sciences
Jurnal Bilqolam Pendidikan Islam, Multidisciplinary
JBKPI Jurnal Bimbingan dan Konseling Pendidikan Islam, Multidisciplinary
Jurnal Ilmu Lingkungan, Multidisciplinary
Acta Neurobiologiae Experimentalis, Life Sciences
Journal of Judicial Review, Engineering & Technology
Global Legal Review, Social Sciences
Jurnal Hukum Visio Justisia, Multidisciplinary
Law Review, Social Sciences
SASI, Multidisciplinary
Fisioterapia em Movimento, Multidisciplinary
Global Implementation Research and Applications, Multidisciplinary
Revista Brasileira de Geriatria e Gerontologia, Multidisciplinary
Journal of Human Growth and Development, Engineering & Technology
Revista CEFAC, Multidisciplinary
Hygeia - Revista Brasileira de Geografia Médica e da Saúde, Multidisciplinary
Advances in Life Course Research, Multidisciplinary
Measurement, Multidisciplinary
Revista Brasileira de Recursos Hídricos, Multidisciplinary
Journal of the Brazilian Society of Mechanical Sciences and Engineering, Engineering & Technology
Frontiers in Neuroanatomy, Life Sciences
Approaches in Poultry Dairy & Veterinary Sciences, Engineering & Technology
Food Microbiology, Life Sciences
Kikan Chirigaku, Multidisciplinary
Ochrana prírody Slovenska/Ekológia, Multidisciplinary
Acta Musei Silesiae. Scientiae Naturales, Multidisciplinary
Historia naturalis bulgarica, Multidisciplinary
Geological Magazine, Multidisciplinary
Palaeontology, Multidisciplinary
Economics and Environment, Business & Economics
Stress and Health, Life Sciences
Multimodal Transportation, Multidisciplinary
Journal of Fatwa Management and Research, Business & Economics
International Journal of Entrepreneurship and Management Practices, Business & Economics
Australian journal of advanced nursing, Engineering & Technology
Journal of Hospital Administration, Engineering & Technology
Connect The World of Critical Care Nursing, Multidisciplinary
International Journal of Critical Care, Engineering & Technology
Anti-Cancer Agents in Medicinal Chemistry, Physical Sciences
iLABMED, Multidisciplinary
Bioscience Methods, Multidisciplinary
Annals of Dermatology, Multidisciplinary
Naukovì zapiski Nacìonalʹnogo unìversitetu «Ostrozʹka akademìâ» Serìâ «Fìlologìâ», Multidisciplinary
Revista EntreLinguas, Multidisciplinary
The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy, Multidisciplinary
Humanitarian studies history and pedagogy, Humanities
American Journal of Medicine Open, Life Sciences
Pneumologia, Multidisciplinary
Euro-Atlantic Studies, Multidisciplinary
International Journal on Data Science, Multidisciplinary
Journal of Minimally Invasive Spine Surgery and Technique, Engineering & Technology
Language, Multidisciplinary
BME Frontiers, Multidisciplinary
Journal of ExtraCorporeal Technology, Engineering & Technology
3D Printing in Medicine, Life Sciences
Journal of Chemical Neuroanatomy, Physical Sciences
International Journal of Dentistry, Engineering & Technology
Journal of Materials Engineering and Performance, Engineering & Technology
International Journal of Material Forming, Engineering & Technology
Educational Theory, Social Sciences
Therapeutic Advances in Psychopharmacology, Life Sciences
Progress in Neuro-Psychopharmacology and Biological Psychiatry, Life Sciences
MEDFARM Jurnal Farmasi dan Kesehatan, Multidisciplinary
European Journal of Plant Pathology, Life Sciences
Plant Genetic Resources, Multidisciplinary
Genetic Resources, Multidisciplinary
Korean Journal of Physiology and Pharmacology, Life Sciences
Case Reports in Pathology, Life Sciences
Journal of Comparative Physiology A, Life Sciences
Citizen Science Theory and Practice, Multidisciplinary
Brain Circulation, Engineering & Technology
Clinical Neuropsychopharmacology and Therapeutics, Life Sciences
Brain Network Disorders, Engineering & Technology
Journal of Community Health, Life Sciences
Exploration of Drug Science, Multidisciplinary
Journal of Basic and Clinical Physiology and Pharmacology, Life Sciences
Vessel Plus, Multidisciplinary
Brazilian Journal of Chemical Engineering, Engineering & Technology
Agrosystems Geosciences & Environment, Engineering & Technology
Revista CERES, Multidisciplinary
Scientia Agricola, Multidisciplinary
Journal of Health and Allied Sciences NU, Life Sciences
Research in Human Development, Multidisciplinary
Evaluation and Program Planning, Multidisciplinary
American Journal of Geriatric Psychiatry, Engineering & Technology
City Territory and Architecture, Multidisciplinary
Theoria, Multidisciplinary
Logic and Logical Philosophy, Humanities
Science and Engineering Ethics, Humanities
Synthese, Multidisciplinary
Biosemiotics, Multidisciplinary
Biosystems, Engineering & Technology
Foundations of Science, Multidisciplinary
Cognitive Affective & Behavioral Neuroscience, Life Sciences
Living Reviews in Computational Astrophysics, Physical Sciences
Living Reviews in Relativity, Engineering & Technology
Few-Body Systems, Engineering & Technology
Psychologica Belgica, Multidisciplinary
The Journal of Behavioral Science, Multidisciplinary
Journal of the International Phonetic Association, Engineering & Technology
ACS Sustainable Chemistry & Engineering, Engineering & Technology
Cancer Insight, Multidisciplinary
Biotechnology and Bioengineering, Engineering & Technology
Journal of Ambient Intelligence and Humanized Computing, Engineering & Technology
Informatics in Education, Social Sciences
JUCS - Journal of Universal Computer Science, Engineering & Technology
RELATEC Revista Latinoamericana de Tecnología Educativa, Multidisciplinary
RECIMA21 - Revista Científica Multidisciplinar - ISSN 2675-6218, Multidisciplinary
Entertainment Computing, Engineering & Technology
Computer Applications in Engineering Education, Social Sciences
Pediatrics in Review, Life Sciences
Learning & Education, Social Sciences
International Journal of Nursing Sciences, Multidisciplinary
Canadian Respiratory Journal, Multidisciplinary
Annals of PDE, Multidisciplinary
Nonlinear Analysis, Multidisciplinary
touchREVIEWS in Respiratory & Pulmonary Diseases, Engineering & Technology
World Journal of Pediatrics, Life Sciences
Turkish Journal of Parasitology, Engineering & Technology
Infectio, Multidisciplinary
Tracheostomy Official Journal of the Global Tracheostomy Collaborative, Engineering & Technology
Yonago acta medica, Multidisciplinary
Mathematical Problems in Engineering, Engineering & Technology
Journal of Microscopy, Engineering & Technology
Fottea, Multidisciplinary
Remote Sensing Applications Society and Environment, Multidisciplinary
Frontiers in Analytical Science, Multidisciplinary
Harmful Algae, Multidisciplinary
Ocean Microbiology, Life Sciences
Jornal de Pediatria, Multidisciplinary
Journal of radiology and nuclear medicine, Life Sciences
Surgery and Oncology, Life Sciences
International Journal of Basic and Applied Science, Multidisciplinary
Journal of Artificial Intelligence and Engineering Applications (JAIEA), Humanities
Journal of Computer System and Informatics (JoSYC), Engineering & Technology
TEPIAN, Multidisciplinary
West Science Social and Humanities Studies, Humanities
West Science Agro, Multidisciplinary
At Turots Jurnal Pendidikan Islam, Multidisciplinary
Journal of Computer Science and Research (JoCoSiR), Engineering & Technology
International Journal of Studies in International Education, Social Sciences
Matrik Jurnal Manajemen Teknik Informatika dan Rekayasa Komputer, Multidisciplinary
Educational Dynamics International Journal of Education and Social Sciences, Social Sciences
EduCompassion Jurnal Integrasi Pendidikan Islam dan Global, Multidisciplinary
Telematika, Multidisciplinary
Jutisi Jurnal Ilmiah Teknik Informatika dan Sistem Informasi, Multidisciplinary
Sadharananikarana Jurnal Ilmiah Komunikasi Hindu, Multidisciplinary
Computer Science and Information Technologies, Engineering & Technology
SinkrOn, Multidisciplinary
Journal of Information Systems and Informatics, Engineering & Technology
Italian Journal of Medicine, Life Sciences
chemistry of plant raw material, Physical Sciences
Plasticheskie massy, Multidisciplinary
Modern Chemistry, Physical Sciences
Journal of Geophysical Research Earth Surface, Humanities
The Cleft Palate-Craniofacial Journal, Multidisciplinary
The Journal of Gene Medicine, Life Sciences
Food Chemistry International, Physical Sciences
Annales Geophysicae, Multidisciplinary
Medical Visualization, Life Sciences
Nephrology (Saint-Petersburg), Engineering & Technology
Virtual Technologies in Medicine, Engineering & Technology
Baikal Medical Journal, Engineering & Technology
Bulletin of Siberian Medicine, Life Sciences
Genetics Research, Life Sciences
Bulletin of Engineering Geology and the Environment, Engineering & Technology
JFO Open Ophthalmology, Multidisciplinary
Ghana Medical Journal, Life Sciences
Munaddhomah Jurnal Manajemen Pendidikan Islam, Multidisciplinary
Sinergi International Journal of Education, Social Sciences
TARLIM JURNAL PENDIDIKAN AGAMA ISLAM, Multidisciplinary
EDUCARE Journal of Primary Education, Social Sciences
Al Khawarizmi Jurnal Pendidikan dan Pembelajaran Matematika, Multidisciplinary
Panthera Jurnal Ilmiah Pendidikan Sains dan Terapan, Engineering & Technology
Asian Journal of Engineering Social and Health, Social Sciences
JIEMAN Journal of Islamic Educational Management, Business & Economics
Journal of English Language and Education, Social Sciences
Jurnal Ilmiah Peuradeun, Multidisciplinary
Al-Irfan Journal of Arabic Literature and Islamic Studies, Humanities
EDUTECH Jurnal Inovasi Pendidikan Berbantuan Teknologi, Multidisciplinary
Aging Brain, Engineering & Technology
Magnetic Resonance Materials in Physics Biology and Medicine, Physical Sciences
Aperture Neuro, Life Sciences
Journal of Mineralogical and Petrological Sciences, Multidisciplinary
Molecular Imaging and Biology, Life Sciences
Bipolar Disorders, Multidisciplinary
Neurodegenerative Disease Management, Business & Economics
Der Ophthalmologe, Multidisciplinary
Japanese Journal of Ophthalmology, Engineering & Technology
Journal of Statistical Software, Engineering & Technology
Brodogradnja, Multidisciplinary
Neuropsychology, Social Sciences
Journal of the Pediatric Orthopaedic Society of North America, Engineering & Technology
Orthopaedics and Trauma, Multidisciplinary
The Keio Journal of Medicine, Life Sciences
International Journal of Mechanical Sciences, Engineering & Technology
Mathematics and Mechanics of Solids, Physical Sciences
The Breast Journal, Multidisciplinary
New Space, Multidisciplinary
International Journal of Mass Spectrometry, Engineering & Technology
Acta Astronautica, Multidisciplinary
Astrobiology, Life Sciences
Space Weather, Multidisciplinary
One Health & Risk Management, Business & Economics
Current Medicinal Chemistry, Physical Sciences
Human Gene Therapy, Multidisciplinary
Endocrinology and Metabolism Clinics of North America, Multidisciplinary
Medicine and Pharmacy Reports, Life Sciences
Bursa Jurnal Ekonomi dan Bisnis, Multidisciplinary
Journal Transnational Universal Studies, Multidisciplinary
Journal of Economics and Business UBS, Business & Economics
International Journal of Coal Geology, Physical Sciences
Rock Mechanics Bulletin, Multidisciplinary
Progress in Natural Science Materials International, Physical Sciences
Kurdistan Journal of Applied Research, Engineering & Technology
Applied Computer Science, Engineering & Technology
International Journal of Artificial Intelligence Research, Humanities
Journal of Electronics Electromedical Engineering and Medical Informatics, Engineering & Technology
Computer Science, Engineering & Technology
Advances in Human-Computer Interaction, Engineering & Technology
Brazilian Journal of Physical Therapy, Engineering & Technology
Archives of Physiotherapy, Multidisciplinary
Revista Brasileira de Terapia Intensiva, Multidisciplinary
Brazilian Journal Of Pain, Engineering & Technology
European Journal of Translational Myology, Engineering & Technology
The Ultrasound Journal, Multidisciplinary
Journal of Obesity, Engineering & Technology
Revista da Associação Médica Brasileira, Multidisciplinary
Rehabilitation Research and Practice, Multidisciplinary
European Journal of Psychology of Education, Social Sciences
Journal of Deafblind Studies on Communication, Social Sciences
Current Developmental Disorders Reports, Multidisciplinary
Redox Biochemistry and Chemistry, Physical Sciences
Proteomes, Multidisciplinary
Observational Studies, Multidisciplinary
Сибирский научный медицинский журнал, Multidisciplinary
Journal of obstetrics and women s diseases, Engineering & Technology
Mathematical Modelling and Analysis, Physical Sciences
Discover Social Science and Health, Social Sciences
Twin Research and Human Genetics, Life Sciences
Journal of Family Therapy, Engineering & Technology
Aggression and Violent Behavior, Multidisciplinary
Medical Bulletin of Haseki, Life Sciences
International Journal of the Cardiovascular Academy, Engineering & Technology
e-Journal of Cardiovascular Medicine, Life Sciences
ChemPhotoChem, Multidisciplinary
Inorganic Chemistry Communications, Social Sciences
Journal of Porous Materials, Physical Sciences
Organic Letters, Engineering & Technology
RNA, Multidisciplinary
Medical Principles and Practice, Life Sciences
EFSA Journal, Multidisciplinary
Bulletin of Earthquake Engineering, Humanities
Earthquake Engineering & Structural Dynamics, Humanities
Structural Safety, Multidisciplinary
Fire Safety Journal, Multidisciplinary
Clinical Psychological Science, Life Sciences
Professional Psychology Research and Practice, Social Sciences
Anxiety Stress & Coping, Multidisciplinary
Cognitive Therapy and Research, Multidisciplinary
Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies, Engineering & Technology
International Journal on Homelessness, Multidisciplinary
Neuromodulation Technology at the Neural Interface, Engineering & Technology
Intelligent Sports and Health, Life Sciences
Galenika Medical Journal, Life Sciences
International Journal of Food Contamination, Engineering & Technology
Pesticide Biochemistry and Physiology, Physical Sciences
Journal of Analytical Methods in Chemistry, Physical Sciences
Mechatronics, Multidisciplinary
Microporous and Mesoporous Materials, Physical Sciences
Chromosome Research, Multidisciplinary
International Journal for Parasitology, Multidisciplinary
Proceedings of the Japan Academy Series B, Multidisciplinary
Revista Thema, Multidisciplinary
Acta Biológica Catarinense, Multidisciplinary
Revista Científica Rural, Multidisciplinary
